node	country
root	China
n1046	China
n1048	China
n1051	Australia
n1051	China
n1051	India
n1068	Australia
n1068	Canada
n1068	China
EPI_ISL_419211	Israel
EPI_ISL_408481	China
n1123	China
n1123	Diamond Princess
n1123	Grand Princess
n1125	Denmark
n1126	Grand Princess
n1126	USA
EPI_ISL_403934	China
n1128	China
n1129	China
EPI_ISL_416405	China
n1131	China
EPI_ISL_429761	Luxembourg
EPI_ISL_421225	China
n1139	China
EPI_ISL_408431	France
n1140	China
n1150	China
EPI_ISL_413866	China
EPI_ISL_428455	China
n1157	China
n1158	Finland
n1158	Latvia
n1158	Netherlands
EPI_ISL_429239	China
EPI_ISL_421259	China
EPI_ISL_421224	China
EPI_ISL_413852	China
n1159	China
EPI_ISL_411902	Cambodia
EPI_ISL_416362	China
EPI_ISL_418503	China
n1169	China
n1170	Vietnam
n1174	China
EPI_ISL_407079	Finland
EPI_ISL_414687	China
n1175	Belgium
n1175	China
n1175	Netherlands
n1175	Sweden
EPI_ISL_416044	China
n1179	Australia
n1179	United Kingdom
n1182	Australia
n1182	China
n1182	Taiwan
EPI_ISL_421254	China
n1186	Belgium
n1186	China
n1186	Germany
n1233	China
EPI_ISL_419313	Pakistan
EPI_ISL_416337	China
n1239	China
EPI_ISL_421222	China
n1240	China
n1240	Iceland
n1240	United Kingdom
n1246	China
n1485	China
EPI_ISL_418990	China
n1488	China
n1490	China
EPI_ISL_421228	China
EPI_ISL_421230	China
n1491	China
EPI_ISL_419548	Germany
n1498	China
n1804	China
n1805	China
n1805	Singapore
n1805	United Kingdom
EPI_ISL_416907	Malaysia
n1833	China
EPI_ISL_413884	China
n1834	China
EPI_ISL_420151	Norway
EPI_ISL_421231	China
EPI_ISL_421233	China
EPI_ISL_421232	China
EPI_ISL_421227	China
EPI_ISL_421229	China
EPI_ISL_421226	China
EPI_ISL_415711	China
EPI_ISL_407313	China
EPI_ISL_416404	China
EPI_ISL_428469	China
EPI_ISL_418502	China
EPI_ISL_416046	China
EPI_ISL_416376	China
EPI_ISL_406538	China
EPI_ISL_418508	China
EPI_ISL_418509	China
EPI_ISL_418515	China
EPI_ISL_418504	China
EPI_ISL_418506	China
EPI_ISL_418507	China
EPI_ISL_411953	China
EPI_ISL_418442	China
EPI_ISL_418514	China
EPI_ISL_418510	China
EPI_ISL_406970	China
EPI_ISL_418511	China
EPI_ISL_418512	China
EPI_ISL_418513	China
EPI_ISL_412026	China
EPI_ISL_429140	Sweden
EPI_ISL_404228	China
EPI_ISL_408479	China
EPI_ISL_418441	China
root.polytomy_68	USA
root.polytomy_16	Diamond Princess
root.polytomy_2	Australia
root.polytomy_27	Hong Kong
root.polytomy_25	Grand Princess
root.polytomy_35	Japan
root.polytomy_56	Singapore
root.polytomy_29	Iceland
root.polytomy_8	Canada
root.polytomy_32	Ireland
root.polytomy_65	Taiwan
root.polytomy_44	Netherlands
root.polytomy_60	South Korea
root.polytomy_69	United Kingdom
n1047	China
EPI_ISL_422256	United Kingdom
EPI_ISL_421235	China
EPI_ISL_421236	China
EPI_ISL_428484	India
n1052	Australia
n1069	Australia
EPI_ISL_417444	Pakistan
n1070	Canada
EPI_ISL_413622	Grand Princess
n1124	Diamond Princess
EPI_ISL_429542	Denmark
EPI_ISL_429328	Denmark
EPI_ISL_419561	USA
EPI_ISL_413619	Grand Princess
EPI_ISL_416474	China
EPI_ISL_418991	China
EPI_ISL_406844	Australia
EPI_ISL_416370	China
EPI_ISL_416379	China
EPI_ISL_429101	China
n1132	China
EPI_ISL_406535	China
EPI_ISL_406536	China
EPI_ISL_408670	USA
EPI_ISL_411066	China
EPI_ISL_416398	China
EPI_ISL_410719	Singapore
n1133	China
EPI_ISL_416369	China
EPI_ISL_415504	Netherlands
EPI_ISL_419734	Australia
EPI_ISL_413869	China
EPI_ISL_413522	India
n1134	China
EPI_ISL_421252	China
EPI_ISL_408486	China
EPI_ISL_408488	China
EPI_ISL_412872	South Korea
EPI_ISL_410486	France
n1140.polytomy_2	Australia
EPI_ISL_413875	China
EPI_ISL_428477	China
EPI_ISL_413850	China
EPI_ISL_404227	China
EPI_ISL_429878	USA
EPI_ISL_418398	Finland
EPI_ISL_415516	Netherlands
EPI_ISL_421654	Latvia
EPI_ISL_408976	Australia
n1160	China
EPI_ISL_416396	China
EPI_ISL_411957	China
EPI_ISL_414686	China
EPI_ISL_418267	Vietnam
EPI_ISL_418269	Vietnam
EPI_ISL_428440	China
EPI_ISL_417518	Taiwan
EPI_ISL_421257	China
EPI_ISL_403936	China
EPI_ISL_406531	China
EPI_ISL_429104	China
EPI_ISL_429105	China
EPI_ISL_429102	China
EPI_ISL_403937	China
EPI_ISL_429098	China
EPI_ISL_429096	China
EPI_ISL_429097	China
EPI_ISL_429088	China
EPI_ISL_429085	China
EPI_ISL_429086	China
EPI_ISL_429078	China
EPI_ISL_429074	China
EPI_ISL_429077	China
EPI_ISL_429076	China
EPI_ISL_408010	USA
EPI_ISL_429100	China
EPI_ISL_421258	China
EPI_ISL_416321	China
EPI_ISL_422637	Netherlands
EPI_ISL_420378	Belgium
EPI_ISL_424703	Sweden
EPI_ISL_419790	Australia
n1181	Australia
n1181	United Kingdom
n1179.polytomy_69	United Kingdom
EPI_ISL_422410	Taiwan
EPI_ISL_427664	Australia
n1187	Belgium
n1188	Germany
EPI_ISL_429001	USA
n1234	United Kingdom
EPI_ISL_416399	China
EPI_ISL_416380	China
EPI_ISL_416394	China
EPI_ISL_416353	China
EPI_ISL_416393	China
EPI_ISL_416384	China
EPI_ISL_416347	China
EPI_ISL_417792	Iceland
EPI_ISL_425821	United Kingdom
n1247	China
n1248	China
EPI_ISL_416323	China
EPI_ISL_416339	China
EPI_ISL_413751	China
EPI_ISL_416378	China
n1393	China
EPI_ISL_416343	China
n1413	United Kingdom
EPI_ISL_428441	China
n1414	China
n1416	China
n1427	China
n1428	China
n1432	China
EPI_ISL_413749	China
EPI_ISL_421239	China
EPI_ISL_421243	China
EPI_ISL_412978	China
EPI_ISL_416322	China
n1454	China
EPI_ISL_429075	China
EPI_ISL_412979	China
EPI_ISL_428476	China
EPI_ISL_428471	China
EPI_ISL_428470	China
EPI_ISL_421249	China
EPI_ISL_421240	China
EPI_ISL_421242	China
EPI_ISL_421244	China
EPI_ISL_421246	China
EPI_ISL_421247	China
EPI_ISL_414689	China
EPI_ISL_416042	China
EPI_ISL_413729	China
EPI_ISL_413750	China
EPI_ISL_416352	China
EPI_ISL_414663	China
EPI_ISL_413748	China
EPI_ISL_413746	China
EPI_ISL_429092	China
EPI_ISL_429091	China
EPI_ISL_416326	China
EPI_ISL_429083	China
EPI_ISL_429084	China
EPI_ISL_429082	China
EPI_ISL_414690	China
EPI_ISL_414691	China
EPI_ISL_413691	China
EPI_ISL_406801	China
EPI_ISL_407976	Belgium
EPI_ISL_421237	China
EPI_ISL_429854	China
EPI_ISL_429090	China
EPI_ISL_429093	China
EPI_ISL_412982	China
EPI_ISL_413858	China
EPI_ISL_416333	China
n1455	China
n1456	China
n1459	China
n1463	China
n1463	Malaysia
EPI_ISL_413867	China
n1466	South Korea
EPI_ISL_429099	China
EPI_ISL_416368	China
n1469	China
EPI_ISL_404253	USA
n1246.polytomy_56	Singapore
n1246.polytomy_2	Australia
n1246.polytomy_65	Taiwan
n1246.polytomy_61	Spain
n1486	China
n1487	United Kingdom
EPI_ISL_412966	China
EPI_ISL_413864	China
EPI_ISL_406533	China
EPI_ISL_416363	China
EPI_ISL_416387	China
EPI_ISL_416359	China
EPI_ISL_416361	China
n1489	China
EPI_ISL_418799	Australia
EPI_ISL_416400	China
EPI_ISL_416367	China
EPI_ISL_413861	China
EPI_ISL_414510	China
EPI_ISL_416397	China
EPI_ISL_416401	China
n1499	United Kingdom
n1500	China
EPI_ISL_406534	China
n1502	China
EPI_ISL_406594	China
n1505	China
EPI_ISL_411955	USA
EPI_ISL_412898	China
EPI_ISL_402127	China
EPI_ISL_425387	United Kingdom
n1806	Singapore
EPI_ISL_414692	China
EPI_ISL_416348	China
EPI_ISL_413882	China
EPI_ISL_413857	China
EPI_ISL_413874	China
EPI_ISL_416329	China
EPI_ISL_429006	USA
EPI_ISL_428279	USA
EPI_ISL_415539	USA
n1137	USA
EPI_ISL_429036	USA
n1138	USA
EPI_ISL_428343	USA
EPI_ISL_429880	USA
EPI_ISL_428332	USA
n1151	USA
EPI_ISL_428275	USA
EPI_ISL_428268	USA
EPI_ISL_428307	USA
EPI_ISL_428327	USA
EPI_ISL_428330	USA
EPI_ISL_428258	USA
EPI_ISL_428309	USA
EPI_ISL_421313	USA
EPI_ISL_428305	USA
EPI_ISL_429879	USA
EPI_ISL_428337	USA
EPI_ISL_421305	USA
EPI_ISL_428302	USA
EPI_ISL_417325	USA
EPI_ISL_428257	USA
EPI_ISL_417320	USA
EPI_ISL_428324	USA
EPI_ISL_428253	USA
EPI_ISL_428270	USA
EPI_ISL_428269	USA
EPI_ISL_428266	USA
EPI_ISL_428264	USA
EPI_ISL_428265	USA
EPI_ISL_428292	USA
EPI_ISL_428276	USA
EPI_ISL_428317	USA
EPI_ISL_428308	USA
n1152	USA
EPI_ISL_428271	USA
EPI_ISL_428267	USA
EPI_ISL_428299	USA
EPI_ISL_417318	USA
n1156	USA
EPI_ISL_428306	USA
