parameter	value
pastml_version	1.9.29.4
character	country
log_likelihood	-8585.974791394983
log_likelihood_restricted_JOINT	-8658.312075379084
log_likelihood_restricted_MAP	-8659.483480162051
log_likelihood_restricted_MPPA	-8594.867992274721
method	MPPA
model	F81
num_nodes	13293
num_scenarios	2485843810052961094631080743091563103518720
num_states_per_node_avg	1.01354096140826
num_tips	11069
num_unresolved_nodes	92
percentage_of_unresolved_nodes	0.6920935830888437
scaling_factor	1.237994557865294
smoothing_factor	0.09289467550240027
state_changes_per_avg_branch	0.11500310272663399
Algeria	0.00027102719306170385
Argentina	0.00027102719306170385
Australia	0.09431746318547295
Austria	0.001897190351431927
Belarus	0.00018068479537446924
Belgium	0.03433011112114916
Brazil	0.004336435088987262
Cambodia	9.034239768723462e-05
Canada	0.012738278073900081
Chile	0.0006323967838106423
China	0.028638540066853374
Colombia	0.00018068479537446924
Croatia	0.0005420543861234077
Czech Republic	0.0022585599421808653
Democratic Republic of the Congo	0.003794380702863854
Denmark	0.028999909657602314
Diamond Princess	0.0063239678381064235
Ecuador	0.00018068479537446924
Estonia	0.0003613695907489385
Finland	0.00352335350980215
France	0.019875327491191617
Gambia	0.00018068479537446924
Georgia	0.00117445116993405
Germany	0.007679103803414943
Ghana	0.0005420543861234077
Grand Princess	0.0022585599421808653
Greece	0.0003613695907489385
Hong Kong	0.005149516668172373
Hungary	0.00027102719306170385
Iceland	0.05131448188634927
India	0.0031619839190532117
Iran	9.034239768723462e-05
Ireland	0.00117445116993405
Israel	0.00018068479537446924
Italy	0.004065407895925558
Japan	0.0027102719306170385
Jordan	0.0020778751468063963
Kuwait	0.0006323967838106423
Latvia	0.0009034239768723462
Lithuania	0.0
Luxembourg	0.01779745234438522
Malaysia	0.0006323967838106423
Mexico	0.00117445116993405
Nepal	0.0
Netherlands	0.04950763393260457
New Zealand	0.000722739181497877
Nigeria	9.034239768723462e-05
Norway	0.0023489023398681
Pakistan	0.00018068479537446924
Peru	9.034239768723462e-05
Poland	0.0013551359653085192
Portugal	0.008943897371036227
Qatar	0.0
Russia	0.013641702050772428
Saudi Arabia	0.00027102719306170385
Senegal	0.0019875327491191614
Singapore	0.0063239678381064235
Slovakia	0.0003613695907489385
Slovenia	0.0003613695907489385
South Africa	0.0005420543861234077
South Korea	0.0031619839190532117
Spain	0.01626163158370223
Sri Lanka	0.0003613695907489385
Sweden	0.0046074622820489654
Switzerland	0.006504652633480892
Taiwan	0.00605294064504472
Thailand	0.0022585599421808653
Turkey	0.002529587135242569
USA	0.23217996205619298
United Kingdom	0.2906314933598338
Uruguay	0.000722739181497877
Vietnam	0.000722739181497877
