node	Algeria	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Cambodia	Canada	Chile	China	Colombia	Croatia	Czech Republic	Democratic Republic of the Congo	Denmark	Diamond Princess	Ecuador	Estonia	Finland	France	Gambia	Georgia	Germany	Ghana	Grand Princess	Greece	Hong Kong	Hungary	Iceland	India	Iran	Ireland	Israel	Italy	Japan	Jordan	Kuwait	Latvia	Lithuania	Luxembourg	Malaysia	Mexico	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Peru	Poland	Portugal	Qatar	Russia	Saudi Arabia	Senegal	Singapore	Slovakia	Slovenia	South Africa	South Korea	Spain	Sri Lanka	Sweden	Switzerland	Taiwan	Thailand	Turkey	USA	United Kingdom	Uruguay	Vietnam
root	6.990681171328179e-77	2.0933409921245395e-76	6.136927763148258e-74	6.296582100630069e-76	1.3955982779423694e-76	6.150876740804221e-73	1.20502087150259e-75	8.665196007431172e-74	1.5755777203424404e-75	2.0962719747338157e-76	1.0	1.395424152238629e-76	1.3961285109228092e-76	2.0961334787089123e-76	2.0933790528244134e-76	3.4931866246024735e-76	7.634433640367933e-77	1.3960849322785866e-76	1.3962429676609795e-76	2.0943800535245915e-76	9.570266859526052e-74	2.1003702707086905e-76	2.1036251606732925e-76	1.170917990600808e-73	2.0933750279238638e-76	6.055423495711648e-74	1.396005947037814e-76	2.5778582016933035e-73	1.3961028408934626e-76	2.0997606095256427e-76	6.159802404728716e-76	7.10045108502565e-77	4.8710076435151174e-74	1.4533057322609775e-76	2.2222576553149966e-75	9.223392370720987e-74	2.0933805416559495e-76	2.093493931012074e-76	2.0933429141129386e-76	6.975984678323441e-77	2.7913785193990016e-76	5.823957810511785e-74	5.583832881780008e-76	1.1730852680232338e-73	9.983910022752135e-74	2.0940989570984168e-76	6.974242744865857e-77	5.031381100573862e-74	4.459299718715107e-74	6.9759752147162e-77	4.19491311282455e-76	9.815095353482798e-76	3.8219395382909365e-74	1.145356302067794e-75	1.4061967010112902e-76	2.0933418314615848e-76	5.633782325328873e-72	2.0932996339190537e-76	2.0954991627306293e-76	2.100841436324083e-76	2.813638176646654e-76	4.0270917871321296e-72	2.0934999217414317e-76	2.662483241361321e-74	7.751610190541751e-76	2.101797615690969e-76	1.3345254244290835e-73	7.061947921273627e-76	4.467853187691687e-73	1.1717017338005318e-72	1.3960374722978392e-76	9.594986603727248e-74
n0	7.495333667496061e-11	2.2444578477093746e-10	5.23736903623783e-10	6.751128059247327e-10	1.4961080396732206e-10	1.1468941713739856e-09	1.2910200945936782e-09	7.484084812158252e-11	6.648099975524554e-08	2.2476004159499675e-10	0.9999998503006551	1.4961588681240762e-10	1.4969140739803907e-10	2.2474519219915305e-10	2.2444986559850142e-10	3.7453573796810096e-10	7.485115906618039e-11	1.496053780747054e-10	1.4970367932723652e-10	2.245571918241484e-10	1.6440158894326885e-09	2.244424520822802e-10	2.2445683219693126e-10	1.3243517521666011e-09	2.2444943405297912e-10	7.486829705661064e-11	1.4967826622922027e-10	7.51464475244405e-11	1.4968865508491692e-10	2.244522604294425e-10	5.727776898507632e-10	7.478595906506901e-11	5.24815465258727e-10	1.4960493177873206e-10	3.0940227247733714e-10	3.7506080891763684e-10	2.2445002522942813e-10	2.2444617825735495e-10	2.2444599084446557e-10	7.479576244705228e-11	2.9928862270227355e-10	2.997511958307419e-10	5.986925961397483e-10	7.478972091643325e-11	1.2238179784565988e-09	2.24449095578949e-10	7.477708562261818e-11	4.4930173240629176e-10	1.496025007163754e-10	7.479566097926648e-11	4.4977410235407434e-10	1.0522572445311117e-09	7.492135356699184e-11	1.2280384229656787e-09	1.4969327298797817e-10	2.2444587476375878e-10	3.7535701406093424e-10	2.2444078895097987e-10	2.2444743755482509e-10	2.246329235868252e-10	3.016748877613916e-10	1.0057195619284004e-09	2.244432184987019e-10	7.497914970254421e-10	8.311193632571028e-10	2.2443643452373675e-10	2.244394101039073e-10	7.571551479416385e-10	5.55985232158099e-08	2.0547219790038965e-09	1.4968155073958942e-10	2.2209844177395726e-10
n3	9.045138863612223e-07	2.708542915720193e-06	0.0012451211908024095	8.14705435286121e-06	1.8054573117265507e-06	1.3840367223318985e-05	1.557963467584313e-05	9.031564089879547e-07	2.003223481908665e-05	2.712335270722053e-06	0.998330849672615	1.8055186499426468e-06	1.806430009215497e-06	2.7121560727658245e-06	2.7085921618960563e-06	4.5197824534457054e-06	9.032808383060345e-07	1.8053918337180269e-06	1.806578103094488e-06	2.709887341881031e-06	1.983947969973605e-05	2.708502697855277e-06	2.708676232669954e-06	1.5981870899973995e-05	2.708586954137005e-06	9.034876543200528e-07	1.8062714256192634e-06	9.068442888851158e-07	1.806396795144596e-06	2.7086210619816005e-06	6.912105547944093e-06	9.024940246828898e-07	6.33331212674654e-06	1.805386447955055e-06	3.7337717617708335e-06	4.526118848678377e-06	2.7085940882731376e-06	2.7085476641936365e-06	2.7085454025523482e-06	9.02612328890955e-07	3.6117233371221798e-06	3.61730552781199e-06	7.2248386915503255e-06	9.025394215517729e-07	1.476866014241513e-05	2.708582869536185e-06	9.023869426999835e-07	5.422035551132567e-06	1.8053571106398963e-06	9.02611104408826e-07	5.427735966834165e-06	1.2698317805784157e-05	9.041279240202501e-07	1.4819591172765844e-05	1.806452522582894e-06	2.708544001725969e-06	4.529693361531433e-06	2.708482627696659e-06	2.7085628610094068e-06	2.710801249573717e-06	3.6405200522286858e-06	1.2136715320550359e-05	2.7085119467336715e-06	9.048253900638479e-06	1.0029693655264369e-05	2.7084300798037527e-06	2.708465988192941e-06	9.137116182205742e-06	7.700965715515639e-05	2.4795754866527602e-05	1.8063110620833703e-06	2.680215900126094e-06
EPI_ISL_411902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_428473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_416336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n7	7.779589567766483e-14	2.3295775254211713e-13	5.435993022372065e-13	7.007160421441462e-13	1.5528470130912243e-13	1.1903894245089566e-12	1.3399812343555224e-12	7.767914106537207e-14	1.7229427581765007e-12	2.3328392736214584e-13	0.999999999962986	1.5528997691796873e-13	1.5536836157516922e-13	2.332685148121357e-13	2.329619881325461e-13	3.887397745197033e-13	7.768984304617584e-14	1.5527906964287928e-13	1.5538109890970244e-13	2.3307338463901685e-13	1.706364176705893e-12	2.3295429346330077e-13	2.329692189349189e-13	1.3745769744564834e-12	2.3296154022092644e-13	7.770763098430886e-14	1.5535472203563888e-13	7.799633013684725e-14	1.5536550488227176e-13	2.329644737859716e-13	5.944999299945742e-13	7.762217037528941e-14	5.447187676560434e-13	1.5527860642140683e-13	3.211361625762073e-13	3.8928475846071986e-13	2.3296215381737716e-13	2.3295816095126394e-13	2.329579664308565e-13	7.76323455444799e-14	3.106389588795488e-13	3.1111907480823214e-13	6.213976430996914e-13	7.762607489254335e-14	1.2702305194675348e-12	2.329611889104777e-13	7.761296041301383e-14	4.663412231219701e-13	1.5527608316251168e-13	7.763224022859098e-14	4.668315074082898e-13	1.0921634506627177e-12	7.776269963007891e-14	1.2746110217281022e-12	1.553702979164546e-13	2.3295784594786056e-13	3.895921970011424e-13	2.32952567258773e-13	2.3295946800681295e-13	2.331519884820217e-13	3.131157215672921e-13	1.0438608551886692e-12	2.329550889455919e-13	7.782268764837757e-13	8.626390518147106e-13	2.329480476925659e-13	2.329511361197768e-13	7.858697893132261e-13	6.623486211269432e-12	2.132646041074677e-12	1.553581311090353e-13	2.3052138801168023e-13
EPI_ISL_428464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n10	5.545446678688096e-07	1.6605693447658542e-06	3.8748842967482475e-06	4.9948437700516506e-06	1.106900336611169e-06	8.485333349512217e-06	9.551653619812471e-06	5.537124176950433e-07	1.246497415376034e-05	1.662894383968301e-06	0.002052395320899879	1.1069379422037262e-06	1.107496683681212e-06	1.6627845202363914e-06	1.6605995368996068e-06	2.771014682337745e-06	5.537887035496976e-07	1.106860192970439e-06	1.1075874779433863e-06	1.6613935934259113e-06	1.2163304341340383e-05	1.6605446877618232e-06	1.6606510795017623e-06	9.798258958524073e-06	1.6605963440962048e-06	5.539154995221344e-07	1.107399458321791e-06	0.9976841360087937	1.1074763206042111e-06	1.6606172551332138e-06	4.237714128169897e-06	5.5330631924814e-07	3.882864069633075e-06	1.1068568910353515e-06	2.2891226467055742e-06	2.774899436616005e-06	1.6606007179341433e-06	1.6605722559877474e-06	1.6605708694074683e-06	5.533788498844943e-07	2.2142964841322452e-06	2.2177188462747596e-06	4.429446394382369e-06	5.533341514262377e-07	9.054456605956683e-06	1.6605938398852255e-06	5.532406687992736e-07	3.324173292652935e-06	1.106838904742453e-06	5.533780991718232e-07	3.327668136877686e-06	7.78515900781759e-06	5.543080398176413e-07	9.08568170016024e-06	1.1075104863082735e-06	1.6605700105806323e-06	2.777090919878761e-06	1.6605323830315004e-06	1.660581572940512e-06	1.6619538973035468e-06	2.2319513427864246e-06	7.44084846892565e-06	1.6605503581183262e-06	5.547356463821491e-06	6.1490632932785145e-06	1.660500166661737e-06	1.6605221815871644e-06	5.601836671545029e-06	4.7213531371637247e-05	1.520192653131219e-05	1.1074237588772108e-06	1.6432024522380474e-06
n12	5.9981898247243295e-09	1.796142082711372e-08	4.191238850075452e-08	5.402634415862648e-08	1.197270250845826e-08	9.178095671182069e-08	1.0331472804856972e-07	5.989187854615962e-09	1.3284168310750355e-07	1.7986569435141626e-08	0.9999971461824644	1.1973109266462979e-08	1.1979152850756714e-08	1.7985381102520237e-08	1.7961747398010443e-08	2.997246756629546e-08	5.990012994705967e-09	1.1972268297850342e-08	1.1980134919922774e-08	1.7970336249463365e-08	1.3156344756796582e-07	1.7961154126522662e-08	1.7962304904609463e-08	1.059821157615692e-07	1.7961712863297574e-08	5.991384473607044e-09	1.1978101220121033e-08	6.0136436468459155e-09	1.1978932595097712e-08	1.7961939045923932e-08	4.5836909515993357e-08	5.984795321943323e-09	4.199870110151458e-08	1.1972232582722976e-08	2.4760119360238258e-08	3.001448671269347e-08	1.796176017257983e-08	1.7961452316121814e-08	1.796143731828268e-08	5.985579844002893e-09	2.395076791755755e-08	2.3987785634919516e-08	4.7910766853197166e-08	5.985096366560896e-09	9.793683472059956e-08	1.796168577669178e-08	5.9840852189034865e-09	3.595566520590591e-08	1.1972038035366741e-08	5.985571723976924e-09	3.599346692014556e-08	8.420757470090696e-08	5.9956303555760344e-09	9.827457855473942e-08	1.1979302145812627e-08	1.7961428028848144e-08	3.00381907231535e-08	1.796102103335182e-08	1.796155309222608e-08	1.7976396733338367e-08	2.4141730340735148e-08	8.048336619149333e-08	1.796121545949843e-08	6.000255529151454e-08	6.651087101617333e-08	1.79606725674617e-08	1.796091069021238e-08	6.059183627562725e-08	5.10681537252927e-07	1.6443047119496481e-07	1.1978364065213053e-08	1.777357316743337e-08
