node	country
root	China
n0	China
n216	China
EPI_ISL_421230	China
EPI_ISL_403934	China
n223	China
EPI_ISL_403930	China
EPI_ISL_428453	China
n225	China
EPI_ISL_416336	China
n312	China
EPI_ISL_411902	Cambodia
EPI_ISL_428473	China
n314	China
EPI_ISL_428823	Singapore
n317	China
EPI_ISL_421253	China
EPI_ISL_410301	Nepal
n318	China
EPI_ISL_419313	Pakistan
n319	China
EPI_ISL_428464	China
n320	France
n323	Belgium
n332	Spain
n349	China
EPI_ISL_421256	China
EPI_ISL_419548	Germany
EPI_ISL_406531	China
EPI_ISL_429098	China
EPI_ISL_411952	China
EPI_ISL_414686	China
EPI_ISL_413850	China
n350	China
EPI_ISL_402121	China
EPI_ISL_411950	China
n363	China
n365	Malaysia
n366	China
n366	France
n366	Netherlands
EPI_ISL_428446	China
EPI_ISL_410218	Taiwan
EPI_ISL_428469	China
EPI_ISL_418513	China
EPI_ISL_421229	China
EPI_ISL_402124	China
EPI_ISL_421226	China
EPI_ISL_406538	China
EPI_ISL_412899	China
root.polytomy_25	Grand Princess
root.polytomy_69	United Kingdom
root.polytomy_35	Japan
root.polytomy_27	Hong Kong
root.polytomy_44	Netherlands
root.polytomy_32	Ireland
root.polytomy_68	USA
n1	China
EPI_ISL_421222	China
n217	Germany
EPI_ISL_420412	Belgium
EPI_ISL_416388	China
EPI_ISL_416369	China
EPI_ISL_413522	India
EPI_ISL_406535	China
n224	China
n226	China
EPI_ISL_418244	Spain
EPI_ISL_408976	Australia
n313	China
n315	China
n316	China
EPI_ISL_421251	China
EPI_ISL_424703	Sweden
EPI_ISL_416367	China
EPI_ISL_420378	Belgium
EPI_ISL_425329	United Kingdom
EPI_ISL_429001	USA
EPI_ISL_416399	China
EPI_ISL_416353	China
EPI_ISL_416393	China
EPI_ISL_416394	China
EPI_ISL_406597	France
EPI_ISL_411219	France
EPI_ISL_406596	France
EPI_ISL_420403	Belgium
n324	Belgium
EPI_ISL_424352	China
EPI_ISL_419237	Spain
EPI_ISL_418025	Portugal
EPI_ISL_428697	Spain
n334	France
EPI_ISL_419675	Spain
EPI_ISL_417952	Spain
n335	United Kingdom
EPI_ISL_415641	Georgia
n332.polytomy_47	Norway
n332.polytomy_34	Italy
EPI_ISL_416325	China
EPI_ISL_416391	China
n351	Brazil
n351	Canada
n351	China
n351	Gambia
n351	India
n351	Malaysia
n351	Saudi Arabia
n351	South Africa
n351	Taiwan
n354	China
EPI_ISL_416342	China
n362	China
EPI_ISL_412968	Japan
EPI_ISL_419211	Israel
EPI_ISL_408481	China
EPI_ISL_418994	Singapore
EPI_ISL_419561	USA
n350.polytomy_16	Diamond Princess
EPI_ISL_412966	China
EPI_ISL_416363	China
EPI_ISL_408669	Japan
EPI_ISL_416866	Malaysia
EPI_ISL_416829	Malaysia
EPI_ISL_417335	France
EPI_ISL_414467	Netherlands
EPI_ISL_413612	Grand Princess
EPI_ISL_413607	Grand Princess
EPI_ISL_413615	Grand Princess
EPI_ISL_425721	United Kingdom
EPI_ISL_415628	United Kingdom
n367	United Kingdom
EPI_ISL_407084	Japan
EPI_ISL_410531	Japan
n321	Hong Kong
EPI_ISL_419223	Hong Kong
n370	Netherlands
EPI_ISL_413580	Netherlands
EPI_ISL_417432	Ireland
EPI_ISL_414487	Ireland
n375	USA
root.polytomy_68	USA
EPI_ISL_429672	Brazil
n2	Italy
EPI_ISL_417471	USA
EPI_ISL_406862	Germany
n215	Belgium
EPI_ISL_429081	China
n220	Denmark
n220	Germany
n220	Sweden
EPI_ISL_414504	Germany
EPI_ISL_414574	Germany
EPI_ISL_425134	Germany
EPI_ISL_414498	Germany
EPI_ISL_420904	Germany
n221	Germany
EPI_ISL_420356	Belgium
EPI_ISL_417459	Germany
EPI_ISL_416033	Brazil
EPI_ISL_419533	Germany
EPI_ISL_419534	Germany
EPI_ISL_417461	Germany
EPI_ISL_414505	Germany
EPI_ISL_417462	Germany
EPI_ISL_419531	Germany
EPI_ISL_416488	Poland
EPI_ISL_414497	Germany
EPI_ISL_414509	Germany
EPI_ISL_418916	USA
EPI_ISL_429780	Luxembourg
n217.polytomy_69	United Kingdom
n217.polytomy_3	Austria
EPI_ISL_413872	China
EPI_ISL_429079	China
EPI_ISL_413747	China
EPI_ISL_412983	China
n227	China
n267	China
EPI_ISL_416339	China
EPI_ISL_416343	China
EPI_ISL_407071	United Kingdom
EPI_ISL_428441	China
EPI_ISL_414938	China
EPI_ISL_429855	China
n276	China
n287	China
n289	China
EPI_ISL_413751	China
EPI_ISL_406801	China
EPI_ISL_421249	China
EPI_ISL_416322	China
n297	China
n300	China
n301	South Korea
EPI_ISL_413856	China
n302	China
n226.polytomy_61	Spain
n226.polytomy_56	Singapore
EPI_ISL_429853	China
EPI_ISL_416047	China
EPI_ISL_413015	Canada
EPI_ISL_416360	China
EPI_ISL_428444	China
EPI_ISL_409067	USA
EPI_ISL_416032	Brazil
n325	USA
n331	Belgium
EPI_ISL_428673	Sri Lanka
EPI_ISL_416503	France
EPI_ISL_416507	France
n336	Slovenia
n336	Spain
EPI_ISL_418727	United Kingdom
n337	United Kingdom
EPI_ISL_420255	United Kingdom
EPI_ISL_417483	Norway
EPI_ISL_414645	Finland
n344	United Kingdom
n345	South Korea
n346	Russia
n346	USA
n346	United Kingdom
n335.polytomy_68	USA
n333	Norway
EPI_ISL_417486	Norway
EPI_ISL_412974	Italy
EPI_ISL_410546	Italy
EPI_ISL_428487	India
EPI_ISL_421573	South Africa
EPI_ISL_418375	Canada
EPI_ISL_428856	Gambia
EPI_ISL_427305	Brazil
EPI_ISL_416432	Saudi Arabia
n352	Malaysia
EPI_ISL_429882	Taiwan
n355	China
EPI_ISL_417444	Pakistan
EPI_ISL_416354	China
EPI_ISL_408430	France
EPI_ISL_416604	Diamond Princess
EPI_ISL_416584	Diamond Princess
EPI_ISL_416589	Diamond Princess
EPI_ISL_418000	Portugal
EPI_ISL_425417	United Kingdom
EPI_ISL_418141	United Kingdom
