parameter	value
pastml_version	1.9.29.4
character	country
log_likelihood	-2779.0002558822366
log_likelihood_restricted_JOINT	-2810.3393207551
log_likelihood_restricted_MAP	-2810.435699527715
log_likelihood_restricted_MPPA	-2785.069088847188
method	MPPA
model	F81
num_nodes	2403
num_scenarios	59983849407283200
num_states_per_node_avg	1.0324594257178528
num_tips	1917
num_unresolved_nodes	35
percentage_of_unresolved_nodes	1.4565126924677487
scaling_factor	3.2958513700451397
smoothing_factor	0.04999811176802341
state_changes_per_avg_branch	0.2664240550412369
Algeria	0.0019735533876315443
Argentina	0.005903169850740724
Australia	0.013776093203034271
Austria	0.019739457818917915
Belarus	0.003935145151193789
Belgium	0.04345865027584444
Brazil	0.03390469434625147
Cambodia	0.001967947032283789
Canada	0.04212224069094237
Chile	0.00591206663571381
China	0.012865015346267092
Colombia	0.003935211416011053
Croatia	0.005903314724652762
Czech Republic	0.007880934909894345
Democratic Republic of the Congo	0.005903257476464022
Denmark	0.009858555121593868
Diamond Princess	0.0019692121241251933
Ecuador	0.003935198748341316
Estonia	0.005903324320215909
Finland	0.007870997167748512
France	0.04862997613712692
Gambia	0.005903091361252865
Georgia	0.005903278967377838
Germany	0.04048528584217935
Ghana	0.005903239925291323
Grand Princess	0.0019691478308356655
Greece	0.0059032654266215154
Hong Kong	0.0019833850732813687
Hungary	0.003937220608184239
Iceland	0.00590328540139315
India	0.013991317632723483
Iran	0.001967678927958294
Ireland	0.013809260264972851
Israel	0.003935149547986308
Italy	0.010142601327754013
Japan	0.00988214282113344
Jordan	0.005903278672613732
Kuwait	0.005903195689256701
Latvia	0.00590321315504696
Lithuania	0.0019678091607579396
Luxembourg	0.007870840529137006
Malaysia	0.005949452571713424
Mexico	0.013789644541071268
Nepal	0.001967686169461032
Netherlands	0.024018422289660463
New Zealand	0.0039373986504617035
Nigeria	0.0019677343749634076
Norway	0.007991050292058757
Pakistan	0.0039352191201422635
Peru	0.001967652565388395
Poland	0.013794920711711438
Portugal	0.027651891890474095
Qatar	0.001979054192035239
Russia	0.039931944277023866
Saudi Arabia	0.003937182546952683
Senegal	0.003937580981395791
Singapore	0.01379617714639137
Slovakia	0.005902996940276605
Slovenia	0.005903254650178221
South Africa	0.007870993308498149
South Korea	0.011882109158609145
Spain	0.026387338746058274
Sri Lanka	0.00590333942108054
Sweden	0.021773728642349145
Switzerland	0.023844359770935675
Taiwan	0.0039470663845663865
Thailand	0.005903242675257825
Turkey	0.02190811806033705
USA	0.1718339104804079
United Kingdom	0.06004149187426365
Uruguay	0.0039386479357410974
Vietnam	0.005890685579782087
