node	Algeria	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Cambodia	Canada	Chile	China	Colombia	Croatia	Czech Republic	Democratic Republic of the Congo	Denmark	Diamond Princess	Ecuador	Estonia	Finland	France	Gambia	Georgia	Germany	Ghana	Grand Princess	Greece	Hong Kong	Hungary	Iceland	India	Iran	Ireland	Israel	Italy	Japan	Jordan	Kuwait	Latvia	Lithuania	Luxembourg	Malaysia	Mexico	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Peru	Poland	Portugal	Qatar	Russia	Saudi Arabia	Senegal	Singapore	Slovakia	Slovenia	South Africa	South Korea	Spain	Sri Lanka	Sweden	Switzerland	Taiwan	Thailand	Turkey	USA	United Kingdom	Uruguay	Vietnam
root	1.6321664525439801e-257	4.8893645105363805e-257	2.1320794141433817e-250	1.4684586241272412e-256	3.2597108867988774e-257	4.678692274545014e-253	5.925490760879289e-255	2.535595033254044e-254	1.5064001984556977e-254	4.8981186266282676e-257	1.0	3.259781827627201e-257	6.52071024131594e-257	6.541152255779517e-257	4.8948811161776396e-257	9.781113873181093e-257	3.618610508179994e-257	3.260562043338271e-257	4.892868212989257e-257	2.4692480375393442e-254	2.8482999497418467e-254	4.890077169377309e-257	8.178777999647749e-257	1.4685465085958415e-254	6.548161160780427e-257	2.5690898036193004e-254	4.89285350190489e-257	5.218706304930875e-254	3.2612325298638154e-257	6.521025399778115e-257	1.1688389326939097e-256	1.629689138994837e-257	1.6232945016296562e-254	3.2598325156247566e-257	5.15788521315303e-257	2.696085187155612e-254	8.148724926383425e-257	8.149385317742317e-257	1.9414172187165454e-254	1.630546186764982e-257	6.5173776823929646e-257	6.94514475354535e-254	1.3054525815132271e-256	3.156581963481012e-254	2.1721538807610795e-254	8.149238253632054e-257	1.6295777058946503e-257	6.5736620178995906e-257	1.6298288201093515e-257	1.6303130179156712e-257	1.14194032031206e-256	1.8026261809138295e-256	4.8187380191331895e-263	2.829824306285642e-256	3.2609073570003114e-257	8.149361383946682e-257	2.706392493332416e-254	6.517663442935297e-257	4.8937751486197376e-257	4.898168643335696e-257	2.3704166590649034e-254	6.586987795074256e-255	4.271203531023054e-255	2.1892843189665986e-254	1.8063799917586378e-256	4.86388226057929e-252	3.450835649880774e-254	1.481753772482823e-256	3.672748052317936e-252	7.017638486982378e-254	4.9160492145625226e-257	2.9685108846854332e-254
n0	2.949330180309098e-09	8.835097848617727e-09	2.361010646799576e-08	2.653509592678716e-08	5.890308358276372e-09	4.486981571441176e-08	5.117329182523901e-08	2.944873881188727e-09	5.962274017972471e-08	8.850916565361976e-09	0.9999985289654976	5.890436548588053e-09	1.1782944981983453e-08	1.1819883769757964e-08	8.845066373265174e-09	1.7674505132886425e-08	5.909203571674511e-09	5.89107914716649e-09	8.841429050543304e-09	1.1776871511748617e-08	5.947301729547308e-08	8.836382165923105e-09	1.472624946838012e-08	5.1536450998694015e-08	1.1832548884285642e-08	8.852167686591008e-09	8.841402467565104e-09	8.893471053173948e-09	5.893057972329792e-09	1.1783511086407505e-08	2.1120257667353283e-08	2.9447467867266153e-09	1.7724037944861963e-08	5.889978932699046e-09	9.162272100079927e-09	1.4766696787960452e-08	1.4724772904724655e-08	1.4725966234095779e-08	1.4725143809152073e-08	2.9464023546853723e-09	1.1776923036982427e-08	5.920405979120725e-09	2.3589571343157376e-08	2.944746485009917e-09	4.1679431451634103e-08	1.4725700488761922e-08	2.9446523065480954e-09	1.1798250215051479e-08	2.9448428974331705e-09	2.9459810178030792e-09	2.0634899372909286e-08	3.25314683311145e-08	8.707475544961213e-15	5.1135018848671056e-08	5.89246596815394e-09	1.4725922985647392e-08	2.065910537769507e-08	1.1777439284949197e-08	8.84306673937017e-09	8.851005637184228e-09	1.4751180621937229e-08	4.454916001358681e-08	1.1775831319047526e-08	2.076827104042546e-08	3.26413423179396e-08	1.1798322355668153e-08	1.1783454264087258e-08	2.6775339697485693e-08	2.610210294200876e-07	8.814734032475666e-08	8.883317197088527e-09	8.707475544961213e-09
n1	4.64888247845337e-07	1.3926325325688943e-06	3.721543657820424e-06	4.182595198791335e-06	9.284600111001077e-07	7.072605891289933e-06	8.066191480338166e-06	4.6418582357834083e-07	9.398036001172674e-06	1.3951259582149934e-06	0.9992259978726058	9.284802171014448e-07	1.8572870151003215e-06	1.8631094925024887e-06	1.3942038215306711e-06	2.7859443400464977e-06	9.314383696128201e-07	9.285815067193429e-07	1.393630488440318e-06	1.8563296841936953e-06	9.374435927573999e-06	1.3928349731182877e-06	2.321225462783087e-06	8.123434454679806e-06	1.8651058315156123e-06	1.3953231662318807e-06	1.3936262982975832e-06	1.4018336104842003e-06	9.288934190880974e-07	1.8573762473251674e-06	3.3290811746237294e-06	4.641657903103817e-07	2.7937519508470438e-06	9.284080853848107e-07	1.4442033826276091e-06	2.3276009726040223e-06	2.320992719397757e-06	2.321180817971511e-06	2.321051183218112e-06	4.644267492537324e-07	1.8563378058600403e-06	9.332041493835187e-07	3.7183068082234754e-06	4.6416574275224876e-07	6.569721487306672e-06	2.321138929856066e-06	4.6415089786976864e-07	1.8596995028683448e-06	4.641809397630499e-07	4.643603360165235e-07	3.252576560597234e-06	5.127773557961529e-06	1.3725160635724068e-12	8.060158701391664e-06	9.288001044141873e-07	2.321174000933839e-06	3.2563920327434037e-06	1.8564191794594859e-06	1.3938886291850607e-06	1.3951399981634278e-06	2.3251552365234965e-06	0.0005491523375175396	1.8561657237916145e-06	3.2735992732245803e-06	5.145092448046786e-06	1.859710874035082e-06	1.857367290705554e-06	4.220463629515799e-06	4.1143446680885845e-05	1.3894226855097447e-05	1.400233108649601e-06	1.3725160635724068e-06
n89	2.6797856864856065e-16	8.027642653066478e-16	2.1452337141413384e-15	2.411000664790756e-15	5.351982674873408e-16	4.076908401423064e-15	4.649647431107711e-15	2.6757366564118645e-16	5.4173712658354026e-15	8.042015669350933e-16	0.9999999999996366	5.352099149646114e-16	1.0706080830887995e-15	1.0739643717612288e-15	8.03670013664155e-16	1.6059200894849135e-15	5.369151021349324e-16	5.352683020005612e-16	8.033395235266901e-16	1.0700562425823931e-15	5.403767321291127e-15	8.028809594345158e-16	1.3380391522269463e-15	4.6826443726315216e-15	1.0751151344956145e-15	8.043152448401306e-16	8.033371081754025e-16	8.080681027368695e-16	5.354480996842548e-16	1.0706595198028968e-15	1.919004001984261e-15	2.6756211773370987e-16	1.6104206815661133e-15	5.351683356081374e-16	8.324915871883628e-16	2.306786098366627e-13	1.3379049904374147e-15	1.3380134173266575e-15	1.337938691119091e-15	2.6771254400163006e-16	1.0700609242075627e-15	5.379329620995092e-16	2.1433678757899897e-15	2.6756209031948223e-16	3.787027460358523e-15	1.3379892714868093e-15	2.6755353318689505e-16	1.0719987291676227e-15	2.6757085043164464e-16	2.676742609855779e-16	1.874903947709165e-15	2.955835998834963e-15	7.911683977127658e-22	4.646169916942945e-15	5.353943096973831e-16	1.338009487737026e-15	1.877103325235121e-15	1.0701078309228998e-15	8.03488325281965e-16	8.042096600742044e-16	1.340304417367349e-15	4.047773360419595e-15	1.0699617298170817e-15	1.8870222072373374e-15	2.965819239747656e-15	1.0720052839234538e-15	1.0706543568800918e-15	2.4328294116121034e-15	2.3716585656692453e-14	8.009139922045023e-15	8.071455150123071e-16	7.911683977127658e-16
EPI_ISL_402132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n91	2.273043266843869e-09	6.809193426624947e-09	1.8196265001065503e-08	2.0450548919252744e-08	4.539649661066798e-09	3.4581083249037904e-08	3.943916052607083e-08	2.2696088054267552e-09	4.595113460714706e-08	6.821384882103783e-09	0.999998866276454	4.539748457100821e-09	9.081093711956759e-09	9.109562366770924e-09	6.8168761499705815e-09	1.362170812726517e-08	4.554212166776387e-09	4.540243706626206e-09	6.814072872135673e-09	9.076412899779186e-09	4.583574345962049e-08	6.810183247575809e-09	1.1349492987745587e-08	3.9719046623438194e-08	9.119323346905721e-09	6.8223491189005445e-09	6.814052384683976e-09	6.8541815464585524e-09	4.541768783487295e-09	9.081530007580089e-09	1.627734317618982e-08	2.2695108539619493e-09	1.3659882973032026e-08	4.539395773389024e-09	7.061346011756293e-09	1.1380665661475973e-08	1.1348355002891424e-08	1.1349274699611132e-08	1.1348640858241568e-08	2.2707867970986586e-09	9.076452610180744e-09	4.562845841292745e-09	1.8180438618668807e-08	2.269510621429453e-09	3.212226005061548e-08	1.1349069890178177e-08	2.2694380382646536e-09	9.092889426524432e-09	2.2695849263041597e-09	2.2704620735496433e-09	1.5903278444286138e-08	2.5071941942707372e-08	6.71083515532582e-15	3.9409663614443e-08	4.541312526973579e-09	1.1349241368112653e-08	1.5921933967008845e-08	9.076850481525471e-09	6.815335035858796e-09	6.821453529590994e-09	1.1368707381273308e-08	3.43339544987198e-08	9.075611225205338e-09	1.6006067739584233e-08	2.5156621619340902e-08	9.092945025163097e-09	9.081486214723897e-09	2.063570434506209e-08	2.0116842033800527e-07	6.793499071520864e-08	6.846355988519479e-09	6.710835155325819e-09
EPI_ISL_421228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_421230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n92	3.887406802009019e-09	1.1645227008639732e-08	3.111963831402045e-08	3.497496248010575e-08	7.763805127947516e-09	5.9141301973458603e-08	6.744968876349343e-08	3.8815331132548824e-09	7.858660494390198e-08	1.1666077094357912e-08	0.9999980610819474	7.763974091020184e-09	1.5530679059426305e-08	1.557936675665712e-08	1.165836616504182e-08	2.3296134130538486e-08	7.788710234055927e-09	7.764821077261825e-09	1.1653571939836213e-08	1.5522673835168836e-08	7.838926055616876e-08	1.1646919821422172e-08	1.9410143609442514e-08	6.792835590307868e-08	1.559606019189602e-08	1.1667726152577414e-08	1.1653536901761818e-08	1.1722166645294161e-08	7.767429296053727e-09	1.5531425221454347e-08	2.783785751232765e-08	3.881365594582402e-09	2.3361421561386993e-08	7.763370923856498e-09	1.2076463707422329e-08	1.94634557771711e-08	1.9408197403610363e-08	1.9409770288445476e-08	1.9408686279492647e-08	3.883547739595202e-09	1.552274174873976e-08	7.803475727318104e-09	3.109257169919726e-08	3.881365196900395e-09	5.4936170392414454e-08	1.940942001900961e-08	3.881241063632601e-09	1.5550852340645275e-08	3.881492274672988e-09	3.8829923904948874e-09	2.7198124074603376e-08	4.2878566840034785e-08	1.147701260706656e-14	6.73992425196569e-08	7.766648996487612e-09	1.9409713284209882e-08	2.7230029145212952e-08	1.5523422196751634e-08	1.1655730519003658e-08	1.1666194496746423e-08	1.9443004472755444e-08	5.8718657143519864e-08	1.55213027943106e-08	2.737391650739343e-08	4.30233878189131e-08	1.5550947426616265e-08	1.5531350325981905e-08	3.529161921612975e-08	3.44042498872982e-07	1.1618386189692425e-07	1.1708783210141115e-08	1.1477012607066559e-08
EPI_ISL_416397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
