node	country
root	China
EPI_ISL_402130	China
EPI_ISL_416044	China
EPI_ISL_416320	China
n0	China
EPI_ISL_407079	Finland
EPI_ISL_402128	China
EPI_ISL_421253	China
n1	China
n190	China
n192	China
n221	China
n222	China
n228	China
EPI_ISL_403934	China
n255	China
EPI_ISL_428477	China
EPI_ISL_421654	Latvia
EPI_ISL_416389	China
EPI_ISL_416345	China
n259	China
EPI_ISL_403930	China
EPI_ISL_428453	China
EPI_ISL_404227	China
EPI_ISL_418379	Canada
EPI_ISL_429239	China
EPI_ISL_416425	China
EPI_ISL_421259	China
EPI_ISL_421224	China
EPI_ISL_428465	China
EPI_ISL_416336	China
EPI_ISL_428460	China
EPI_ISL_424359	China
EPI_ISL_413852	China
n262	China
EPI_ISL_411902	Cambodia
EPI_ISL_428474	China
EPI_ISL_428473	China
EPI_ISL_418503	China
n267	China
EPI_ISL_408488	China
EPI_ISL_412872	South Korea
EPI_ISL_424703	Sweden
EPI_ISL_402121	China
EPI_ISL_411957	China
n268	Vietnam
EPI_ISL_410301	Nepal
n269	China
n270	China
n355	China
EPI_ISL_402132	China
n357	China
EPI_ISL_421228	China
EPI_ISL_421230	China
n358	China
EPI_ISL_416397	China
EPI_ISL_413851	China
EPI_ISL_406798	China
n360	China
n363	China
n363	Germany
EPI_ISL_413753	China
n372	China
EPI_ISL_421225	China
n373	China
n373	Netherlands
n373	USA
EPI_ISL_413857	China
EPI_ISL_413884	China
EPI_ISL_429103	China
EPI_ISL_416329	China
EPI_ISL_418509	China
EPI_ISL_406970	China
EPI_ISL_421226	China
EPI_ISL_421231	China
EPI_ISL_406800	China
EPI_ISL_418504	China
EPI_ISL_421227	China
EPI_ISL_406717	China
EPI_ISL_412899	China
EPI_ISL_402119	China
EPI_ISL_418508	China
EPI_ISL_415711	China
EPI_ISL_418512	China
EPI_ISL_408479	China
EPI_ISL_402124	China
EPI_ISL_418513	China
EPI_ISL_406716	China
EPI_ISL_411953	China
EPI_ISL_418506	China
EPI_ISL_418441	China
EPI_ISL_421233	China
EPI_ISL_418510	China
EPI_ISL_418514	China
EPI_ISL_428469	China
EPI_ISL_404228	China
EPI_ISL_407313	China
EPI_ISL_406538	China
EPI_ISL_418515	China
EPI_ISL_402125	China
EPI_ISL_402129	China
EPI_ISL_421229	China
EPI_ISL_416046	China
EPI_ISL_418442	China
EPI_ISL_418502	China
EPI_ISL_421232	China
EPI_ISL_418507	China
EPI_ISL_418511	China
EPI_ISL_403929	China
root.polytomy_68	USA
root.polytomy_35	Japan
root.polytomy_69	United Kingdom
