parameter	value
pastml_version	1.9.29.4
character	country
log_likelihood	-2848.219509691886
log_likelihood_restricted_JOINT	-2878.8728060152384
log_likelihood_restricted_MAP	-2879.1311450922058
log_likelihood_restricted_MPPA	-2852.6648191656823
method	MPPA
model	F81
num_nodes	2484
num_scenarios	867623536069632000
num_states_per_node_avg	1.0326086956521738
num_tips	1995
num_unresolved_nodes	36
percentage_of_unresolved_nodes	1.4492753623188406
scaling_factor	2.3767490094511534
smoothing_factor	0.0869082061357879
state_changes_per_avg_branch	0.2460877527492351
Algeria	0.00198462605977738
Argentina	0.00593975808756251
Australia	0.015872220195969164
Austria	0.01586728384863385
Belarus	0.0039600658129444796
Belgium	0.03017332602424612
Brazil	0.03785114187625439
Cambodia	0.001977381663842199
Canada	0.040085280684427495
Chile	0.00594970767685647
China	0.010139434720201611
Colombia	0.0039597506431165485
Croatia	0.00792322635855137
Czech Republic	0.007947087145660715
Democratic Republic of the Congo	0.0059447712670152395
Denmark	0.011882718394326761
Diamond Princess	0.003973407422902399
Ecuador	0.003959510715561156
Estonia	0.005943568448490684
Finland	0.007917993195616486
France	0.03785062028992708
Gambia	0.005939661376215151
Georgia	0.009901510386878325
Germany	0.03667235275663202
Ghana	0.007955833699923271
Grand Princess	0.005950286827138039
Greece	0.005943287760633425
Hong Kong	0.005978939157077662
Hungary	0.003961943381427094
Iceland	0.007923668885332767
India	0.014198318096779211
Iran	0.0019776617060800463
Ireland	0.011916326051021274
Israel	0.003959591273564579
Italy	0.006165215249272314
Japan	0.009930960644176763
Jordan	0.009901055465144862
Kuwait	0.00990092446185922
Latvia	0.009901263514597997
Lithuania	0.0019774149600217074
Luxembourg	0.007918257425832154
Malaysia	0.003981724261884829
Mexico	0.013891424683007794
Nepal	0.001976135077100725
Netherlands	0.02802988113339901
New Zealand	0.009901050997327117
Nigeria	0.001977913008079466
Norway	0.00793368159634645
Pakistan	0.0019784107886415556
Peru	0.0019791311282826647
Poland	0.013872082618553144
Portugal	0.02187725989082955
Qatar	0.0019752112416695825
Russia	0.03435950542888608
Saudi Arabia	0.0039620199008045046
Senegal	0.009901226591678648
Singapore	0.013888605352710165
Slovakia	0.00791806524437898
Slovenia	0.005944436794920028
South Africa	0.005950020904012135
South Korea	0.009918407717816666
Spain	0.03207604894768275
Sri Lanka	0.00791808300366073
Sweden	0.013962129398918
Switzerland	0.021956428553230396
Taiwan	0.007933097081125252
Thailand	0.007923764959460336
Turkey	0.019979593845869056
USA	0.1710287707049077
United Kingdom	0.059116316134637
Uruguay	0.005971462269840639
Vietnam	0.005840757128847091
