node	country
root	China
n0	Hong Kong
EPI_ISL_421234	China
EPI_ISL_428472	China
EPI_ISL_408977	Australia
n2	France
EPI_ISL_416364	China
n3	Belgium
n11	China
n24	Belgium
n24	Germany
n24	Italy
n24	USA
EPI_ISL_414510	China
n237	China
n317	China
n318	China
n325	China
n325	USA
n325	United Kingdom
EPI_ISL_419313	Pakistan
EPI_ISL_416337	China
EPI_ISL_413884	China
EPI_ISL_416370	China
EPI_ISL_429542	Denmark
n326	China
n345	China
EPI_ISL_416389	China
EPI_ISL_413875	China
EPI_ISL_421224	China
EPI_ISL_421654	Latvia
EPI_ISL_418379	Canada
EPI_ISL_411902	Cambodia
n351	China
n351	France
n351	United Kingdom
n352	Belgium
n352	China
n352	Sweden
n353	China
n354	China
EPI_ISL_410301	Nepal
EPI_ISL_403930	China
EPI_ISL_416907	Malaysia
n361	China
n361	Netherlands
n361	USA
EPI_ISL_429103	China
EPI_ISL_418511	China
EPI_ISL_402119	China
EPI_ISL_402124	China
EPI_ISL_418515	China
EPI_ISL_418508	China
EPI_ISL_412899	China
root.polytomy_56	Singapore
root.polytomy_68	USA
root.polytomy_60	South Korea
root.polytomy_25	Grand Princess
root.polytomy_32	Ireland
root.polytomy_35	Japan
root.polytomy_69	United Kingdom
EPI_ISL_417181	Hong Kong
n1	Hong Kong
EPI_ISL_406596	France
EPI_ISL_406597	France
EPI_ISL_411219	France
EPI_ISL_420403	Belgium
n4	Belgium
EPI_ISL_415709	China
EPI_ISL_418025	Portugal
EPI_ISL_424352	China
n12	China
n12	Iceland
n12	Norway
EPI_ISL_417486	Norway
EPI_ISL_415641	Georgia
n13	France
n14	United Kingdom
n11.polytomy_61	Spain
n11.polytomy_34	Italy
n25	Italy
EPI_ISL_417471	USA
EPI_ISL_406862	Germany
n236	Belgium
n238	Canada
n238	China
n238	Malaysia
n238	USA
n277	China
EPI_ISL_416323	China
EPI_ISL_407071	United Kingdom
EPI_ISL_416335	China
n295	South Korea
n296	China
EPI_ISL_416378	China
EPI_ISL_416322	China
EPI_ISL_428462	China
EPI_ISL_413748	China
EPI_ISL_416326	China
EPI_ISL_429854	China
EPI_ISL_421240	China
EPI_ISL_429075	China
EPI_ISL_421244	China
EPI_ISL_413750	China
EPI_ISL_414689	China
EPI_ISL_429082	China
EPI_ISL_414690	China
EPI_ISL_416885	Malaysia
n303	China
n306	China
EPI_ISL_429099	China
EPI_ISL_413747	China
n307	China
n237.polytomy_61	Spain
n237.polytomy_56	Singapore
EPI_ISL_416340	China
EPI_ISL_411950	China
n319	Germany
EPI_ISL_420412	Belgium
EPI_ISL_425329	United Kingdom
EPI_ISL_429001	USA
n327	Brazil
n327	China
n327	Gambia
n327	India
n327	Malaysia
n327	Saudi Arabia
n327	Singapore
n327	South Africa
n327	Taiwan
n330	China
n343	China
n343	Netherlands
n343	United Kingdom
n344	China
EPI_ISL_419561	USA
EPI_ISL_419211	Israel
EPI_ISL_418994	Singapore
n326.polytomy_35	Japan
n326.polytomy_16	Diamond Princess
EPI_ISL_428468	China
EPI_ISL_411066	China
EPI_ISL_416369	China
EPI_ISL_413522	India
n346	China
EPI_ISL_429079	China
EPI_ISL_425721	United Kingdom
EPI_ISL_417335	France
EPI_ISL_420378	Belgium
EPI_ISL_424703	Sweden
EPI_ISL_429097	China
EPI_ISL_429098	China
EPI_ISL_429105	China
EPI_ISL_429077	China
EPI_ISL_429074	China
EPI_ISL_421257	China
EPI_ISL_408010	USA
EPI_ISL_429100	China
EPI_ISL_421258	China
EPI_ISL_411952	China
EPI_ISL_414686	China
n355	Canada
n356	China
n362	Netherlands
EPI_ISL_429878	USA
EPI_ISL_410716	Singapore
EPI_ISL_420111	Singapore
EPI_ISL_420101	Singapore
n347	USA
EPI_ISL_419555	USA
n348	USA
EPI_ISL_420805	USA
EPI_ISL_420789	USA
EPI_ISL_412872	South Korea
EPI_ISL_426166	South Korea
EPI_ISL_413607	Grand Princess
EPI_ISL_413615	Grand Princess
EPI_ISL_414481	Grand Princess
EPI_ISL_417432	Ireland
EPI_ISL_414487	Ireland
EPI_ISL_407084	Japan
EPI_ISL_410532	Japan
