parameter	value
Australia and New Zealand	0.0029889297762362467
Central America	0.004929972332100585
Diamond Princess	2.680998005337484e-05
Eastern Asia	0.041363586225491855
Eastern Europe	0.03805600068633549
Grand Princess	9.5749928762053e-06
Middle Africa	0.0001593278814600562
Northern Africa	0.001197640108955759
Northern America	0.35787531674076434
Northern Europe	0.07844446963731459
South America	0.04098058651044363
South-eastern Asia	0.007704039268194785
Southern Africa	0.0016162587975034547
Southern Asia	0.04791671134996675
Southern Europe	0.16484537535504074
Western Africa	0.001121806165376213
Western Asia	0.056337726084731796
Western Europe	0.1544258681071541
