country	freq	freq_PD_0	freq_PD_1	freq_PD_2	freq_PD_3	freq_PD_4	freq_G_0	freq_G_1	freq_G_2	freq_G_3	freq_G_4
Argentina	0.0013110080246100295	0.006093080344207148	0.005935997831156884	0.005989645160664705	0.00592006376260058	0.00593975808756251	0.0062164024146461805	0.006196308931471399	0.006059477315593122	0.006164610475157574	0.005903169850740724
Australia	0.0025611190945273943	0.01626978338223395	0.015862817049539586	0.016000889036521884	0.015819031886592724	0.015872220195969164	0.01450577187559641	0.014454280967673087	0.014138881406637162	0.014385459250847065	0.013776093203034271
Austria	0.005771039706346457	0.016276444603376444	0.017828016686378508	0.015995680162993974	0.01582439106837235	0.01586728384863385	0.018698381353841543	0.016583572386449964	0.018252772178416737	0.020605521909581072	0.019739457818917915
Belgium	0.016964206378630456	0.026918223929206838	0.03014648318884402	0.030440060918581608	0.026164578809690305	0.03017332602424612	0.03176515746798132	0.04563404390831121	0.04188758465662667	0.03436021173341135	0.04345865027584444
Belarus	0.003360056500117964	0.004062427535872533	0.003957495235329454	0.003995209808307402	0.003945889451294079	0.0039600658129444796	0.004143722119748648	0.004131271551294589	0.004039698464365639	0.004109798580429831	0.003935145151193789
Brazil	0.02029706989898	0.03294342366919923	0.03438157160141668	0.03242227623381297	0.03404012615193511	0.03785114187625439	0.035756966617038165	0.039766509114889	0.03484886849755567	0.037171545627743725	0.03390469434625147
Canada	0.016804878497170397	0.041118524121881245	0.04005846482502198	0.04046698558364455	0.039950363850700756	0.040085280684427495	0.04597617123856085	0.04218879368788278	0.045323377536084154	0.04559651130120271	0.04212224069094237
Switzerland	0.010951876851803622	0.020465850271412386	0.021930593245851216	0.022150538167257795	0.02188250598081614	0.021956428553230396	0.023019244588993366	0.024971328964739255	0.02248706077908499	0.016630402892931644	0.023844359770935675
Chile	0.004713194493383297	0.006103219053594409	0.005946625881903191	0.006000464778838886	0.005931175996697304	0.00594970767685647	0.006225106284411345	0.006205552363152073	0.006071032371313314	0.006173532169974492	0.00591206663571381
China	0.03213329309282994	0.011941770437499263	0.011662602452003805	0.018744059419006868	0.013953527718606973	0.010139434720201611	0.012300953897496504	0.0120748762822848	0.004196903751431407	0.012137364119286242	0.012865015346267092
