iso3	cases	frequencies	rescaled_cases	sampled_cases	subsampled_cases
NPL	49	1.876698603736239e-05	0	1	1.0
IRN	88194	0.03377827686896201	68	1	1.0
KHM	122	4.672596523588187e-05	0	1	1.0
PER	21648	0.008291177831363693	17	1	1.0
LTU	1410	0.0005400295982179789	1	1	1.0
NGA	1095	0.00041938468797779216	1	1	1.0
ISR	15058	0.005767209709195976	12	2	2.0
PAK	11940	0.004573016597675651	9	2	2.0
BLR	8773	0.003360056500117964	7	2	2.0
COL	4881	0.0018694216091503229	4	2	2.0
HUN	2443	0.0009356683038627819	2	3	3.0
DZA	3127	0.001197640108955759	2	3	3.0
ARG	3423	0.0013110080246100297	3	3	3.0
GMB	10	3.82999715048212e-06	0	3	3.0
SAU	15102	0.005784061696658098	12	3	3.0
LKA	420	0.00016085988032024903	0	4	4.0
ECU	11183	0.004283085813384155	9	4	4.0
GRC	2490	0.0009536692904700478	2	4	4.0
EST	1605	0.0006147145426523803	1	4	4.0
SVK	1360	0.0005208796124655683	1	4	4.0
SVN	1373	0.0005258586087611951	1	4	4.0
SEN	545	0.00020873484470127553	0	22	5.0
LVA	784	0.00030027177659779823	1	10	5.0
URY	563	0.00021562883957214335	0	9	5.0
GEO	444	0.00017005187348140613	0	13	5.0
NZL	1117	0.0004278106817088528	1	8	5.0
THA	2854	0.001093081186747597	2	27	5.0
VNM	270	0.00010340992306301724	0	8	5.0
Grand Princess	25	9.5749928762053e-06	0	25	5.0
FIN	4395	0.0016832837476368917	3	40	5.0
COD	416	0.0001593278814600562	0	42	5.0
Diamond Princess	70	2.680998005337484e-05	0	70	5.0
JOR	441	0.0001689028743362615	0	23	5.0
ISL	1789	0.0006851864902212512	1	570	5.0
KWT	2614	0.0010011612551360262	2	7	5.0
LUX	3695	0.0014151839471031433	3	199	5.0
GHA	1279	0.0004898566355466631	1	6	5.0
HRV	2009	0.0007694464275318579	2	7	5.0
MYS	5691	0.0021796513783393745	4	8	5.0
ZAF	4220	0.0016162587975034547	3	6	5.0
DNK	8210	0.0031444276605458207	6	321	6.0
CZE	7273	0.002785556927545646	6	26	6.0
NOR	7408	0.0028372618890771546	6	26	6.0
CHL	12306	0.004713194493383297	9	7	7.0
TWN	428	0.00016392387804063473	0	68	7.0
QAT	8525	0.0032650725707860074	7	10	7.0
KOR	10718	0.004104990945886736	8	35	8.0
POL	10892	0.004171632896305125	8	15	9.0
SGP	11178	0.004281170814808914	9	74	9.0
JPN	12892	0.004937632326401549	10	31	10.0
MEX	12872	0.004929972332100585	10	14	10.0
HKG	62	2.3745982332989143e-05	0	62	10.0
AUS	6687	0.002561119094527394	5	1049	10.0
AUT	15068	0.005771039706346458	12	21	12.0
IRL	18184	0.006964466818436687	14	13	13.0
SWE	17567	0.00672815599425194	13	52	14.0
PRT	23271	0.00891278636888694	18	100	18.0
IND	24506	0.009385791016971484	19	35	19.0
CHE	28595	0.010951876851803622	22	72	22.0
NLD	36535	0.013992894589286426	28	551	28.0
TUR	104912	0.04018126610513802	80	29	29.0
BEL	44293	0.016964206378630456	34	387	34.0
CAN	43877	0.016804878497170397	34	141	34.0
BRA	52995	0.020297069898979996	41	48	43.0
ITA	192994	0.07391664700601462	148	46	46.0
RUS	68622	0.026282206446038403	53	151	52.0
DEU	152438	0.05838371056251934	117	86	86.0
FRA	122577	0.04694695607146468	94	223	94.0
GBR	143464	0.05494667111967669	110	3243	109.0
ESP	208269	0.07976696765337607	160	182	164.0
CHN	83899	0.03213329309282994	64	365	254.0
USA	890524	0.34107043824359395	682	2626	676.0
