iso3_%Y_%m	sampled_cases	subsampled_cases	iso3
ARG_2020_03	3	3.0	ARG
AUS_2020_01	10	10.0	AUS
AUS_2020_02	20	0.0	AUS
AUS_2020_03	946	1.0	AUS
AUS_2020_04	73	1.0	AUS
AUT_2020_02	2	2.0	AUT
AUT_2020_03	19	10.0	AUT
BEL_2020_02	2	2.0	BEL
BEL_2020_03	308	16.0	BEL
BEL_2020_04	77	16.0	BEL
BLR_2020_03	2	2.0	BLR
BRA_2020_02	5	5.0	BRA
BRA_2020_03	43	38.0	BRA
CAN_2020_01	4	4.0	CAN
CAN_2020_02	6	6.0	CAN
CAN_2020_03	131	24.0	CAN
CHE_2020_02	23	7.0	CHE
CHE_2020_03	39	8.0	CHE
CHE_2020_04	10	7.0	CHE
CHL_2020_03	7	7.0	CHL
CHN_2019_12	15	15.0	CHN
CHN_2020_01	200	200.0	CHN
CHN_2020_02	145	48.0	CHN
CHN_2020_03	5	5.0	CHN
COD_2020_03	38	3.0	COD
COD_2020_04	4	2.0	COD
COL_2020_03	2	2.0	COL
CZE_2020_02	1	1.0	CZE
CZE_2020_03	24	4.0	CZE
CZE_2020_04	1	1.0	CZE
DEU_2020_01	1	1.0	DEU
DEU_2020_02	11	11.0	DEU
DEU_2020_03	74	74.0	DEU
DNK_2020_02	2	2.0	DNK
DNK_2020_03	319	4.0	DNK
DZA_2020_03	3	3.0	DZA
Diamond Princess_2020_02	70	5.0	Diamond Princess
ECU_2020_03	4	4.0	ECU
ESP_2020_02	7	7.0	ESP
ESP_2020_03	175	157.0	ESP
EST_2020_03	4	4.0	EST
FIN_2020_01	1	1.0	FIN
FIN_2020_02	1	1.0	FIN
FIN_2020_03	38	3.0	FIN
FRA_2020_01	5	5.0	FRA
FRA_2020_02	11	11.0	FRA
FRA_2020_03	207	78.0	FRA
GBR_2020_01	2	2.0	GBR
GBR_2020_02	31	31.0	GBR
GBR_2020_03	3125	38.0	GBR
GBR_2020_04	85	38.0	GBR
GEO_2020_02	2	2.0	GEO
GEO_2020_03	10	2.0	GEO
GEO_2020_04	1	1.0	GEO
GHA_2020_03	6	5.0	GHA
GMB_2020_03	2	2.0	GMB
GMB_2020_04	1	1.0	GMB
GRC_2020_03	4	4.0	GRC
Grand Princess_2020_02	25	5.0	Grand Princess
HKG_2020_01	9	9.0	HKG
HKG_2020_02	52	2.0	HKG
HKG_2020_03	1	1.0	HKG
HRV_2020_03	7	5.0	HRV
HUN_2020_03	3	3.0	HUN
IND_2020_01	2	2.0	IND
IND_2020_03	24	9.0	IND
IND_2020_04	9	8.0	IND
IRL_2020_03	13	13.0	IRL
IRN_2020_03	1	1.0	IRN
ISL_2020_02	1	1.0	ISL
ISL_2020_03	569	4.0	ISL
ISR_2020_02	1	1.0	ISR
ISR_2020_03	1	1.0	ISR
ITA_2020_01	2	2.0	ITA
ITA_2020_02	4	4.0	ITA
ITA_2020_03	40	40.0	ITA
JOR_2020_03	21	3.0	JOR
JOR_2020_04	2	2.0	JOR
JPN_2020_01	7	7.0	JPN
JPN_2020_02	5	2.0	JPN
JPN_2020_03	19	2.0	JPN
KHM_2020_01	1	1.0	KHM
KOR_2020_01	5	5.0	KOR
KOR_2020_02	30	4.0	KOR
KWT_2020_03	7	5.0	KWT
LKA_2020_03	4	4.0	LKA
LTU_2020_02	1	1.0	LTU
LUX_2020_02	2	1.0	LUX
LUX_2020_03	164	2.0	LUX
LUX_2020_04	33	2.0	LUX
LVA_2020_03	10	5.0	LVA
MEX_2020_02	1	1.0	MEX
MEX_2020_03	13	9.0	MEX
MYS_2020_02	6	3.0	MYS
MYS_2020_03	2	2.0	MYS
NGA_2020_02	1	1.0	NGA
NLD_2020_01	1	1.0	NLD
NLD_2020_02	8	8.0	NLD
NLD_2020_03	515	10.0	NLD
NLD_2020_04	27	9.0	NLD
NOR_2020_02	7	3.0	NOR
NOR_2020_03	19	3.0	NOR
NPL_2020_01	1	1.0	NPL
NZL_2020_02	1	1.0	NZL
NZL_2020_03	7	4.0	NZL
PAK_2020_03	2	2.0	PAK
PER_2020_03	1	1.0	PER
POL_2020_03	14	8.0	POL
POL_2020_04	1	1.0	POL
PRT_2020_03	100	18.0	PRT
QAT_2020_03	10	7.0	QAT
RUS_2020_03	77	26.0	RUS
RUS_2020_04	74	26.0	RUS
SAU_2020_03	3	3.0	SAU
SEN_2020_02	1	1.0	SEN
SEN_2020_03	21	4.0	SEN
SGP_2020_01	6	6.0	SGP
SGP_2020_02	20	1.0	SGP
SGP_2020_03	29	2.0	SGP
SGP_2020_04	19	1.0	SGP
SVK_2020_03	4	4.0	SVK
SVN_2020_03	4	4.0	SVN
SWE_2020_02	1	1.0	SWE
SWE_2020_03	49	11.0	SWE
SWE_2020_04	2	2.0	SWE
THA_2020_01	2	2.0	THA
THA_2020_03	25	3.0	THA
TUR_2020_03	26	26.0	TUR
TUR_2020_04	3	3.0	TUR
TWN_2020_01	7	7.0	TWN
TWN_2020_02	6	0.0	TWN
TWN_2020_03	55	1.0	TWN
URY_2020_03	8	4.0	URY
URY_2020_04	1	1.0	URY
USA_2020_01	12	12.0	USA
USA_2020_02	64	64.0	USA
USA_2020_03	2209	300.0	USA
USA_2020_04	341	300.0	USA
VNM_2020_01	4	4.0	VNM
VNM_2020_02	1	0.0	VNM
VNM_2020_03	3	1.0	VNM
ZAF_2020_03	3	2.0	ZAF
ZAF_2020_04	3	3.0	ZAF
